AGID,LBK_PORT,PCID,DESCRIPTION,LAT,LONG,INPFC_AREA,OBS_port
C,211,ALB, ALBION                                ,39.2235117,-123.7686251,MONTEREY,
C,471,ALM, ALAMEDA                               ,,,MONTEREY,
W,ANA,ANA, ANACORTES                             ,48.5220491,-122.6123942,VANCOUVER,ANACORTES
C,213,ARE, POINT ARENA                           ,38.9088,-123.6931,MONTEREY,
W,AST,AST, ASTORIA                               ,46.1878841,-123.8312534,COLUMBIA,ASTORIA / WARRENTON
O,2,AST, ASTORIA                               ,46.1878841,-123.8312534,COLUMBIA,ASTORIA / WARRENTON
W,WAR,AST, ASTORIA                               ,46.1878841,-123.8312534,COLUMBIA,ASTORIA / WARRENTON
C,602,AVL, AVILA                                 ,35.179,-120.7342,CONCEPTION,AVILA
C,473,BDG, BODEGA BAY                            ,38.33325,-123.0480571,MONTEREY,BODEGA BAY
O,36,BDN, BANDON                                ,43.1189978,-124.408448,COLUMBIA,BANDON
C,472,BKL, BERKELEY                              ,,,MONTEREY,
W,BEL,BLL, BELLINGHAM BAY                        ,48.7456636,-122.4935031,VANCOUVER,BELLINGHAM BAY
W,BLA,BLN, BLAINE                                ,48.9940007,-122.7596199,VANCOUVER,
C,487,BOL, BOLINAS                               ,,,MONTEREY,BOLINAS
C,223,BRG, FORT BRAGG                            ,39.445723,-123.8052935,MONTEREY,FORT BRAGG
O,42,BRK, BROOKINGS                             ,42.0476111,-124.2687028,EUREKA,BROOKINGS
O,6,CNB, CANNON BEACH                          ,45.8917738,-123.9615274,COLUMBIA,
O,34,COS, CHARLESTON                            ,43.3665007,-124.2178903,COLUMBIA,CHARLESTON (COOS BAY)
W,C.B,CPL, COPALIS BEACH                         ,47.1125857,-124.1737879,COLUMBIA,
C,201,CRS, CRESCENT CITY                         ,41.7442815,-124.1914691,EUREKA,CRESCENT CITY
O,70,CRS, CRESCENT CITY                         ,41.7442815,-124.1914691,EUREKA,CRESCENT CITY
O,1,CRV, COLUMBIA RIVER                        ,,,COLUMBIA,
C,593,CRZ, SANTA CRUZ                            ,36.96801522,-122.0027447,MONTEREY,SANTA CRUZ
C,767,DNA, DANA POINT                            ,33.4597501,-117.6956073,,DANA POINT HARBOR
O,22,DPO, DEPOE BAY                             ,44.8081689,-124.0678937,COLUMBIA,DEPOE BAY
C,200,ERK, EUREKA AREA                           ,40.8037376,-124.1772844,EUREKA,
C,217,ERK, FIELDS LANDING                        ,40.8037376,-124.1772844,EUREKA,
C,220,ERK, EUREKA                                ,40.8037376,-124.1772844,EUREKA,EUREKA
W,EUR,ERK, EUREKA                                ,40.8037376,-124.1772844,EUREKA,EUREKA
O,72,ERK, EUREKA CA                             ,40.8037376,-124.1772844,EUREKA,
W,EVE,EVR, EVERETT                               ,48.0003732,-122.219581,VANCOUVER,
O,71,FLN, FIELDS LANDING CA                     ,40.7245711,-124.2150604,EUREKA,
O,30,FLR, FLORENCE                              ,43.9826214,-124.0998409,COLUMBIA,
W,F.H,FRI, FRIDAY HARBOR                         ,48.5342662,-123.0171242,VANCOUVER,FRIDAY HARBOR
O,40,GLD, GOLD BEACH                            ,42.4212221,-124.4201069,EUREKA,GOLD BEACH
W,ABE,GRH, ABERDEEN                              ,46.950645,-124.051005,COLUMBIA,
W,HOQ,GRH, HOQUIAM                               ,46.950645,-124.051005,COLUMBIA,
O,5,GSS, GEARHART-SEASIDE                      ,45.9931637,-123.9226385,COLUMBIA,
C,605,HNM, PORT HUENEME                          ,34.160278,-119.194444,CONCEPTION,
W,L.C,LAC, LACONNER                              ,48.3887143,-122.4962752,VANCOUVER,
W,LAC,LAC, LACONNER                              ,48.3887143,-122.4962752,VANCOUVER,
W,L.P,LAP, LAPUSH                                ,47.9086834,-124.6366039,VANCOUVER,LAPUSH
C,743,LGB, LONG BEACH                            ,33.77,-118.1937,CONCEPTION,
O,69,LWC, ILWACO/CHINOOK                        ,46.3089891,-124.0432099,COLUMBIA,ILWACO/CHINOOK
W,CHI,LWC, CHINOOK                               ,46.3089891,-124.0432099,COLUMBIA,
W,ILW,LWC, ILWACO                                ,46.3089891,-124.0432099,COLUMBIA,
C,550,MNT, MONTEREY                              ,36.60307431,-121.8909288,MONTEREY,MONTEREY
C,592,MOS, MOSS LANDING                          ,36.79939,-121.786447,MONTEREY,MOSS LANDING
C,606,MRO, MORRO BAY                             ,35.37044389,-120.8559501,CONCEPTION,MORRO BAY
W,N.B,NEA, NEAH BAY                              ,48.3681223,-124.6249602,VANCOUVER,NEAH BAY
O,24,NEW, NEWPORT                               ,44.6367836,-124.0534505,COLUMBIA,NEWPORT
O,8,NHL, NEHALEM BAY                           ,45.6928842,-123.9220787,COLUMBIA,
O,12,NTR, NETARTS                               ,45.4023253,-123.9456814,COLUMBIA,
C,748,NWB, NEWPORT BEACH                         ,33.6189101,-117.9289469,,NEWPORT BEACH
C,464,OAK, OAKLAND                               ,37.69723451,-122.1913576,MONTEREY,
W,ALA,OAL, ALASKA PORT                           ,,,,
C,600,OBV, SANTA BARBARA AREA                    ,,,CONCEPTION,
C,604,OBV, GAVIOTA                               ,,,CONCEPTION,
C,612,OBV, SANTA MARIA                           ,,,CONCEPTION,
C,614,OBV, GOLETA                                ,,,CONCEPTION,
C,616,OBV, SUMMERLAND                            ,,,CONCEPTION,
C,618,OBV, GUADALUPE                             ,,,CONCEPTION,
C,619,OBV, CONCEPTION                            ,,,CONCEPTION,
C,620,OBV, POINT ARGUELLO                        ,,,CONCEPTION,
C,621,OBV, SURF                                  ,,,CONCEPTION,
C,623,OBV, SANTA CRUZ ISLAND                     ,,,CONCEPTION,
